title,vendor,product_type,price_min,price_max,variant_count,sizes_all,sizes_in_stock,in_stock_count,images_count,image,url,tags
Kimes Ranch Ladies Lucky B Bucking T-Shirt (Ivory),Kimes Ranch,Shirts & Tops,35.00,35.00,6,S | M | L | XL | 2XL | 3XL,S | M | L | XL,4,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Lucky-B-Bucking-Ivory-Cropped-Shirt-1.jpg?v=1784836769,https://elherraderoww.com/products/kimes-ranch-ladies-lucky-b-bucking-t-shirt-ivory,Women / Woman / Ladies / Lady / Dama / Mujer
Kimes Ranch Men's Hunton T-Shirt (Black),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,S | M,2,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Hunton-Black-Logo-Shirt-1.webp?v=1784836661,https://elherraderoww.com/products/kimes-ranch-mens-hunton-t-shirt-black,Men / Man / Hombre / Caballero
Kimes Ranch Men's Wood Stamp T-Shirt (Heather Cool Blue),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,S | M | L | XL,4,4,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Wood-Stamp-Heather-Cool-Blue-T-Shirt-4.webp?v=1784836517,https://elherraderoww.com/products/kimes-ranch-mens-wood-stamp-t-shirt-heather-cool-blue,Men / Man / Hombre / Caballero
Kimes Ranch Men's The Chase T-Shirt (Heather Columbia Blue),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,S | M | L | XL,4,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/The-Chase-Heather-Columbia-Blue-Graphic-Tee-1.webp?v=1784836382,https://elherraderoww.com/products/kimes-ranch-mens-the-chase-t-shirt-heather-columbia-blue,Men / Man / Hombre / Caballero
Stetson Canvas Rider Trucker Hat Snapback (SCSCTA-0010 / BLK),Stetson,Cap,44.99,44.99,1,,,1,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/ST0406_Black_1.webp?v=1784583043,https://elherraderoww.com/products/stetson-snapback-scscta-0010-blk,Men / Man / Hombre / Caballero
Stetson Canvas Rider Trucker Hat Snapback (SCSCTA-0010 / BRN),Stetson,Cap,44.99,44.99,1,,,1,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/ST0404_Tan_1.webp?v=1784582826,https://elherraderoww.com/products/stetson-snapback-scscta-0010-brn,Men / Man / Hombre / Caballero
Miss Me Women's Twisted Surplice Lace White Top (MT2941S / White),Miss Me,Shirts & Tops,64.99,64.99,3,S | M | L,S | M,2,4,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/MIGR-2026-02-19T130630.782.webp?v=1784580934,https://elherraderoww.com/products/miss-me-cropped-surplice-lace-3-4-sleeve-top-mt2941s-white,Women / Woman / Ladies / Lady / Dama / Mujer
Justin Kids Gypsy Western Boot (9205JR / Esmeralda Brown),Justin,Boots,99.99,99.99,16,1D | 1.5D | 2D | 2.5D | 3D | 8.5D | 9D | 9.5D | 10D | 10.5D | 11D | 11.5D | 12D | 12.5D | 13D | 13.5D,,0,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Justin_9205JR_Detail.jpg?v=1784576142,https://elherraderoww.com/products/justin-9205jr-esmeralda-brown,Girl / Niña / Nina | Youth / Kid / Joven
Justin Kids Gypsy Western Boot (9206JR / Esmeralda Pink),Justin,Boots,99.99,99.99,16,1D | 1.5D | 2D | 2.5D | 3D | 8.5D | 9D | 9.5D | 10D | 10.5D | 11D | 11.5D | 12D | 12.5D | 13D | 13.5D,1D | 1.5D | 2D | 2.5D | 3D | 13.5D,6,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Justin_9206JR_Detail.jpg?v=1784575963,https://elherraderoww.com/products/justin-9206jr-esmeralda-pink,Girl / Niña / Nina | Youth / Kid / Joven
"Justin Caddo 11"" Western Work Boot (BR740 / Copper Brown)",Justin,Boots,239.99,239.99,7,Copper Caprice/8 EE | Copper Caprice/7 EE | Copper Caprice/8 1/2 EE | Copper Caprice/9 EE | Copper Caprice/11 EE | Copper Caprice/11 1/2 EE | Copper Caprice/12 EE,Copper Caprice/8 1/2 EE | Copper Caprice/9 EE | Copper Caprice/11 EE | Copper Caprice/11 1/2 EE | Copper Caprice/12 EE,5,8,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-002-BR740.jpg?v=1784575771,https://elherraderoww.com/products/justin-br743-1,Men / Man / Hombre / Caballero
"Conductor 8"" Work Boots (760 / Hazel Brown)",Justin,Work Boots & Shoes,249.99,249.99,13,7/EE | 7.5/EE | 8/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 11.5/EE | 12/EE | 13/EE | 14/EE,11/EE,1,7,https://cdn.shopify.com/s/files/1/0466/0428/8151/products/760-617x563.jpg?v=1648596169,https://elherraderoww.com/products/justin-boots-760-hazel-brown,Men / Man / Hombre / Caballero
"Justin Men's Bolt 11"" Pull-On Work Boot (SE4100 / Caramel Brown)",Justin,Boots,159.99,159.99,13,7/EE | 7.5/EE | 8/EE | 8.5/EE | 9/EE | 9.5/EE | 10/EE | 10.5/EE | 11/EE | 11.5/EE | 12/EE | 13/EE | 14/EE,12/EE,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-002-SE4100.jpg?v=1784573232,https://elherraderoww.com/products/justin-boots-se4100-waxy-brown,Men / Man / Hombre / Caballero
Justin Men's Diamond Back Dark Brown Leather Belt (C13925),Justin,Belts,53.00,53.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,32 | 36 | 38 | 40 | 42 | 44 | 46,7,4,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Product_Image_Template_-_2026-06-12T133133.353.webp?v=1784572649,https://elherraderoww.com/products/justin-mens-belt-c13925,Men / Man / Hombre / Caballero
Justin Men's Brown Trophy Bull Western Belt (C11284),Justin,Belts,95.00,95.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,36 | 40 | 42 | 46,4,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/57_617ffa4d-1152-441d-9900-2fd4ade57ec6.webp?v=1784153709,https://elherraderoww.com/products/justin-mens-belt-c11284,Men / Man / Hombre / Caballero
Justin Men’s Diamond Road Tan Leather Belt (C14074),Justin,Belts,49.00,49.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,32 | 40 | 42 | 44 | 46,5,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Untitled-2_fbed8d14-eda7-4ea9-ab9e-7ee48e52a1dc.webp?v=1784153591,https://elherraderoww.com/products/justin-mens-belt-c14074,Men / Man / Hombre / Caballero
Justin Men's Carson Brown Leather Belt (C14025),Justin,Belts,48.00,48.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,34 | 40 | 42 | 44 | 46,5,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-024-C14025.jpg?v=1784144748,https://elherraderoww.com/products/justin-mens-belt-c14025,Men / Man / Hombre / Caballero
Justin Men's Tan Saddlers Choice Belt (C14194),Justin,Belts,74.00,74.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,36 | 38 | 42 | 44 | 46,5,2,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/qic14194_01.webp?v=1784144616,https://elherraderoww.com/products/justin-tan-saddle-mens-belt-c14194,Men / Man / Hombre / Caballero
Justin Men's Carson Black Leather Belt (C14223),Justin,Belts,57.00,57.00,8,32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,36 | 42,2,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/JST-024-C14023.jpg?v=1784144359,https://elherraderoww.com/products/justin-mens-belt-c14223-black,Men / Man / Hombre / Caballero
