product_id,title,vendor,product_type,variant_id,sku,barcode,option1,option2,option3,price,compare_at_price,available,grams,image,images_count,published_at,url,tags
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574508695,,,30 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574541463,,,30 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574574231,,,31 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574606999,,,31 x 32,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574639767,,,31 x 34,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574672535,,,31 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574705303,,,32 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574738071,,,32 x 32,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574770839,,,32 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037574803607,,,32 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
